guionistas,titulo,pais,votos,votacion,nota
David Webb Peoples,12 monos ,Estados Unidos,119254.0,7.4,9
Janet Peoples,12 monos ,Estados Unidos,119254.0,7.4,9
Chris Marker,12 monos ,Estados Unidos,119254.0,7.4,9
Frank Darabont,Cadena perpetua ,Estados Unidos,168504.0,8.6,9
Stephen King,Cadena perpetua ,Estados Unidos,168504.0,8.6,9
Eric Roth,Forrest Gump ,Estados Unidos,201637.0,8.2,9
Winston Groom,Forrest Gump ,Estados Unidos,201637.0,8.2,9
Ariel Dorfman,La muerte y la doncella ,Reino Unido,10208.0,7.3,9
Rafael Iglesias,La muerte y la doncella ,Reino Unido,10208.0,7.3,9
Michael De Luca,En la boca del miedo ,Estados Unidos,10456.0,6.6,9
Callie Khouri,Thelma & Louise ,Estados Unidos,42382.0,7.2,9
Ted Tally,El silencio de los corderos ,Estados Unidos,174287.0,8.2,9
Thomas Harris,El silencio de los corderos ,Estados Unidos,174287.0,8.2,9
Matt Groening,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
James L. Brooks,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Sam Simon,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
John Swartzwelder,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Dan Greaney,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
David X. Cohen,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Richard Appel,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Jennifer Crittenden,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Matt Selman,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Jon Vitti,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Bill Canterbury,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Al Jean,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Daniel Chun,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Matt Warburton,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
John Frink,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Tim Long,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Joel H. Cohen,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Valentina Garza,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Jon Kern,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Ian Maxtone-Graham,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Michael Price,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Carolyn Omine,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
J. Stewart Burns,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Don Payne,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Jeff Westbrook,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Brian Kelley,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
George Meyer,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Bill Oakley,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Josh Weinstein,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Mike Scully,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Rob LaZebnik,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Bill Odenkirk,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Jeff Martin,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Marc Wilmore,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Kevin Curran,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Mike Reiss,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Jay Kogen,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Wallace Wolodarsky,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Stephanie Gillis,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Dan Castellaneta,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Dana Gould,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Matt Groening,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Giuseppe Tornatore,Cinema Paradiso ,Italia,92235.0,8.3,9
Isao Takahata,La tumba de las luciérnagas ,Japón,40553.0,8.0,9
Akiyuki Nosaka,La tumba de las luciérnagas ,Japón,40553.0,8.0,9
