directores,titulo,pais,votos,votacion,nota
Jonathan West,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Craig Zisk,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Joel J. Feigenbaum,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Mel Damski,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
John Behring,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Chris Long,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
David Straiton,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
James A. Contner,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Richard Compton,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Shannen Doherty,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Stuart Gillard,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Noel Nosseck,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
David Jackson,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Anson Williams,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Kevin Inch,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
LeVar Burton,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Michael Schultz,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Les Sheldon,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Michael Zinberg,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Darren Star,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Michael Patrick King,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Allen Coulter,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Michael Engler,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Michael Spiller,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Alan Taylor,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
John David Coles,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Charles McDougall,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
David Frankel,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Nicole Holofcener,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Allison Anders,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Timothy Van Patten,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Susan Seidelman,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Daniel Algrant,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Pam Thomas,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Darren Star,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
