generos,titulo,votos,votacion,nota
Ciencia ficción,La guerra de las galaxias. Episodio IV: Una nueva esperanza ,136701.0,7.9,7
Aventuras,La guerra de las galaxias. Episodio IV: Una nueva esperanza ,136701.0,7.9,7
Aventura espacial,La guerra de las galaxias. Episodio IV: Una nueva esperanza ,136701.0,7.9,7
Película de culto,La guerra de las galaxias. Episodio IV: Una nueva esperanza ,136701.0,7.9,7
Star Wars,La guerra de las galaxias. Episodio IV: Una nueva esperanza ,136701.0,7.9,7
Drama,Rocky ,91110.0,7.1,7
Deporte,Rocky ,91110.0,7.1,7
Boxeo,Rocky ,91110.0,7.1,7
Terror,La profecía ,43702.0,7.4,7
Intriga,La profecía ,43702.0,7.4,7
Sobrenatural,La profecía ,43702.0,7.4,7
Infancia,La profecía ,43702.0,7.4,7
Fin del mundo,La profecía ,43702.0,7.4,7
Drama,Alguien voló sobre el nido del cuco ,110654.0,8.3,7
Enfermedad,Alguien voló sobre el nido del cuco ,110654.0,8.3,7
Discapacidad,Alguien voló sobre el nido del cuco ,110654.0,8.3,7
Comedia dramática,Alguien voló sobre el nido del cuco ,110654.0,8.3,7
Película de culto,Alguien voló sobre el nido del cuco ,110654.0,8.3,7
Intriga,Asesinato en el Orient Express ,15167.0,7.0,7
Drama,Asesinato en el Orient Express ,15167.0,7.0,7
Crimen,Asesinato en el Orient Express ,15167.0,7.0,7
Trenes / Metros,Asesinato en el Orient Express ,15167.0,7.0,7
Intriga,El golpe ,100494.0,8.5,7
Comedia,El golpe ,100494.0,8.5,7
Drama,El golpe ,100494.0,8.5,7
Crimen,El golpe ,100494.0,8.5,7
Juego,El golpe ,100494.0,8.5,7
Años 30,El golpe ,100494.0,8.5,7
Mafia,El golpe ,100494.0,8.5,7
Robos & Atracos,El golpe ,100494.0,8.5,7
Venganza,El golpe ,100494.0,8.5,7
Película de culto,El golpe ,100494.0,8.5,7
Animación,Robin Hood ,20944.0,6.8,7
Aventuras,Robin Hood ,20944.0,6.8,7
Infantil,Robin Hood ,20944.0,6.8,7
Edad Media,Robin Hood ,20944.0,6.8,7
Siglo XIII,Robin Hood ,20944.0,6.8,7
Comedia,Mi querida señorita ,3945.0,7.0,7
Drama,Mi querida señorita ,3945.0,7.0,7
Transexualidad / transgénero,Mi querida señorita ,3945.0,7.0,7
Intriga,Frenesí ,16387.0,7.5,7
Asesinos en serie,Frenesí ,16387.0,7.5,7
Intriga,La huella ,31505.0,8.1,7
Drama psicológico,La huella ,31505.0,8.1,7
Comedia negra,La huella ,31505.0,8.1,7
Intriga,La cabina (TV),23158.0,7.7,7
Drama,La cabina (TV),23158.0,7.7,7
Terror,La cabina (TV),23158.0,7.7,7
Surrealismo,La cabina (TV),23158.0,7.7,7
Mediometraje,La cabina (TV),23158.0,7.7,7
Telefilm,La cabina (TV),23158.0,7.7,7
Ciencia ficción,Solaris ,15125.0,7.5,7
Intriga,Solaris ,15125.0,7.5,7
Drama psicológico,Solaris ,15125.0,7.5,7
Aventura espacial,Solaris ,15125.0,7.5,7
Película de culto,Solaris ,15125.0,7.5,7
Animación,Los aristogatos ,52557.0,6.5,7
Musical,Los aristogatos ,52557.0,6.5,7
Infantil,Los aristogatos ,52557.0,6.5,7
Gatos,Los aristogatos ,52557.0,6.5,7
Jazz,Los aristogatos ,52557.0,6.5,7
Años 1910-1919,Los aristogatos ,52557.0,6.5,7
Cine familiar,Los aristogatos ,52557.0,6.5,7
Western,Dos hombres y un destino ,37692.0,7.9,7
Crimen,Dos hombres y un destino ,37692.0,7.9,7
Buddy Film,Dos hombres y un destino ,37692.0,7.9,7
Amistad,Dos hombres y un destino ,37692.0,7.9,7
Película de culto,Dos hombres y un destino ,37692.0,7.9,7
Serie de TV,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Animación,Barrio Sésamo (Serie de TV),33902.0,7.1,7
