productores,titulo,votos,votacion,nota
Tartan Films,Funny Games ,26450.0,6.3,6
X-Filme,Funny Games ,26450.0,6.3,6
Lucky Red,Funny Games ,26450.0,6.3,6
Kinematograf,Funny Games ,26450.0,6.3,6
Warner Bros.,Ahora o nunca ,27289.0,6.6,6
Zadan-Meron Productions,Ahora o nunca ,27289.0,6.6,6
Two Ton Films,Ahora o nunca ,27289.0,6.6,6
New Line Cinema,Fracture ,20082.0,6.4,6
Castle Rock Entertainment,Fracture ,20082.0,6.4,6
,"Paris, je t'aime ",20010.0,6.8,6
Alta Films,La noche de los girasoles ,8983.0,6.8,6
The Film,La noche de los girasoles ,8983.0,6.8,6
Fado Filmes,La noche de los girasoles ,8983.0,6.8,6
Stop Line,La noche de los girasoles ,8983.0,6.8,6
Backup Films,La noche de los girasoles ,8983.0,6.8,6
Columbia Pictures,El código Da Vinci ,64035.0,5.7,6
Imagine Entertainment,El código Da Vinci ,64035.0,5.7,6
The Weinstein Company,Mentes en blanco ,8225.0,5.7,6
Scott Free Productions,Déjà Vu ,50620.0,6.2,6
Touchstone Pictures,Déjà Vu ,50620.0,6.2,6
Jerry Bruckheimer Films,Déjà Vu ,50620.0,6.2,6
FortyFour Studios,Déjà Vu ,50620.0,6.2,6
,El Perfume. Historia de un asesino ,59576.0,6.7,6
Fox Searchlight,Pequeña Miss Sunshine ,108742.0,7.6,6
Big Beach,Pequeña Miss Sunshine ,108742.0,7.6,6
The Colleton Company,Dexter (Serie de TV),61408.0,7.9,6
John Goldwyn Productions,Dexter (Serie de TV),61408.0,7.9,6
Clyde Phillips Productions,Dexter (Serie de TV),61408.0,7.9,6
Devilina Productions,Dexter (Serie de TV),61408.0,7.9,6
Showtime,Dexter (Serie de TV),61408.0,7.9,6
D.N. Dream Partners,Death Note (Serie de TV),42817.0,8.2,6
Madhouse,Death Note (Serie de TV),42817.0,8.2,6
Nippon TV,Death Note (Serie de TV),42817.0,8.2,6
Shueisha,Death Note (Serie de TV),42817.0,8.2,6
VAP,Death Note (Serie de TV),42817.0,8.2,6
Pixar Animation Studios,Abducido (C),9775.0,7.0,6
Walt Disney Pictures,Cars ,80506.0,6.2,6
Pixar Animation Studios,Cars ,80506.0,6.2,6
20th Century Fox,El diablo viste de Prada ,36327.0,5.7,6
Fox 2000 Pictures,El diablo viste de Prada ,36327.0,5.7,6
Universal Pictures,Plan oculto ,49509.0,7.1,6
Imagine Entertainment,Plan oculto ,49509.0,7.1,6
Pixar Animation Studios,Mate y la luz fantasma (C),2140.0,5.2,6
Walt Disney Pictures,Mate y la luz fantasma (C),2140.0,5.2,6
Universal Pictures,Hijos de los hombres ,70066.0,7.1,6
Strike Entertainment,Hijos de los hombres ,70066.0,7.1,6
Hit & Run Productions,Hijos de los hombres ,70066.0,7.1,6
Toho-Towa,Hijos de los hombres ,70066.0,7.1,6
Universal Pictures,La llave del mal ,11530.0,5.7,6
National Geographic,En el vientre materno (TV),472.0,7.4,6
Muse Entertainment,Tráfico humano (Miniserie de TV),1825.0,6.4,6
RHI Entertainment,Tráfico humano (Miniserie de TV),1825.0,6.4,6
Walt Disney Pictures,"Las crónicas de Narnia: El león, la bruja y el armario ",56771.0,5.8,6
Walden Media,"Las crónicas de Narnia: El león, la bruja y el armario ",56771.0,5.8,6
DreamWorks Animation,Madagascar ,39742.0,6.2,6
DreamWorks SKG,Madagascar ,39742.0,6.2,6
Pacific Data Images (PDI),Madagascar ,39742.0,6.2,6
CBS,Cómo conocí a vuestra madre (Serie de TV),96850.0,7.6,6
Warner Bros.,Charlie y la fábrica de chocolate ,94589.0,6.6,6
Village Roadshow,Charlie y la fábrica de chocolate ,94589.0,6.6,6
TriStar Pictures,Oliver Twist ,20053.0,6.4,6
Entertainment Manufacturing Company,El señor de la guerra ,56670.0,7.1,6
VIP 3 Medienfonds,El señor de la guerra ,56670.0,7.1,6
Ascendant Pictures,El señor de la guerra ,56670.0,7.1,6
Saturn Films,El señor de la guerra ,56670.0,7.1,6
Rising Star,El señor de la guerra ,56670.0,7.1,6
Copag V,El señor de la guerra ,56670.0,7.1,6
Endgame Entertainment,El señor de la guerra ,56670.0,7.1,6
Majority Entertainment,El señor de la guerra ,56670.0,7.1,6
Metro-Goldwyn-Mayer (MGM),El señor de la guerra ,56670.0,7.1,6
Lionsgate,El señor de la guerra ,56670.0,7.1,6
Warner Independent Pictures,Todo está iluminado ,8562.0,7.0,6
Universal Pictures,King Kong ,72511.0,6.2,6
Wingnut Films,King Kong ,72511.0,6.2,6
Big Primate Pictures,King Kong ,72511.0,6.2,6
MFPV Film,King Kong ,72511.0,6.2,6
Samuel Goldwyn Films,Super Size Me ,35746.0,6.6,6
Roadside Attractions,Super Size Me ,35746.0,6.6,6
Showtime,Super Size Me ,35746.0,6.6,6
Destination Films,Una canción del pasado ,6998.0,6.6,6
El Camino Pictures,Una canción del pasado ,6998.0,6.6,6
Crossroads Films,Una canción del pasado ,6998.0,6.6,6
Bob Yari,Una canción del pasado ,6998.0,6.6,6
Strike Entertainment,Amanecer de los muertos ,47458.0,6.5,6
New Amsterdam Entertainment,Amanecer de los muertos ,47458.0,6.5,6
Metropolitan Filmexport,Amanecer de los muertos ,47458.0,6.5,6
Toho-Towa,Amanecer de los muertos ,47458.0,6.5,6
Universal Pictures,Amanecer de los muertos ,47458.0,6.5,6
Warner Bros.,Antes del atardecer ,39940.0,7.3,6
Castle Rock Entertainment,Antes del atardecer ,39940.0,7.3,6
DreamWorks Animation,El espantatiburones ,19026.0,5.3,6
DreamWorks SKG,El espantatiburones ,19026.0,5.3,6
Pacific Data Images (PDI),El espantatiburones ,19026.0,5.3,6
Lionsgate,Cube Zero ,11193.0,5.5,6
Miramax,Descubriendo Nunca Jamás ,50428.0,7.2,6
FilmColony,Descubriendo Nunca Jamás ,50428.0,7.2,6
Keylight Entertainment Group,Descubriendo Nunca Jamás ,50428.0,7.2,6
Miramax,Descubriendo Nunca Jamás ,50428.0,7.2,6
New Line Cinema,El diario de Noa ,84076.0,7.3,6
Gran Via,El diario de Noa ,84076.0,7.3,6
Avery Pix,El diario de Noa ,84076.0,7.3,6
New Line Cinema,El diario de Noa ,84076.0,7.3,6
PES,KaBoom! (C),593.0,5.1,6
El Deseo,La mala educación ,40482.0,6.1,6
Universal Pictures,Los padres de él ,65109.0,6.0,6
Ibarretxe & Co. S.L,7:35 de la mañana (C),11475.0,6.9,6
Ghoulardi Film Company,Mattress Man Commercial (C),851.0,4.5,6
New Line Cinema,Mattress Man Commercial (C),851.0,4.5,6
Revolution Studios,Mattress Man Commercial (C),851.0,4.5,6
X Filme Creative Pool,"Good Bye, Lenin! ",76699.0,7.6,6
ARTE,"Good Bye, Lenin! ",76699.0,7.6,6
Westdeutscher Rundfunk (WDR),"Good Bye, Lenin! ",76699.0,7.6,6
Show East Co. Ltd,Oldboy ,70957.0,7.8,6
Egg Films,Oldboy ,70957.0,7.8,6
CJ Entertainment,Oldboy ,70957.0,7.8,6
CJ E&M Film Financing & Investment Entertainment & Comics,Oldboy ,70957.0,7.8,6
Moho Films,Oldboy ,70957.0,7.8,6
Walt Disney Pictures,Piratas del Caribe: La maldición de la Perla Negra ,154922.0,7.2,6
Jerry Bruckheimer Films,Piratas del Caribe: La maldición de la Perla Negra ,154922.0,7.2,6
Twisted Pictures,Saw (C),4569.0,6.5,6
Universal Pictures,La vida de David Gale ,46141.0,7.3,6
Intermedia Films,La vida de David Gale ,46141.0,7.3,6
Dirty Hands Productions,La vida de David Gale ,46141.0,7.3,6
Mikona Productions GmbH & Co. KG,La vida de David Gale ,46141.0,7.3,6
Saturn Films,La vida de David Gale ,46141.0,7.3,6
Universal Pictures,La vida de David Gale ,46141.0,7.3,6
,"Primavera, verano, otoño, invierno... y primavera ",20475.0,7.6,6
Columbia Pictures,Identidad ,30298.0,6.7,6
Walt Disney Pictures,La maldición de los hoyos (Holes) ,2969.0,5.6,6
Fox 2000 Pictures,Última llamada ,46754.0,6.5,6
Dimension Films,Equilibrium ,23939.0,6.5,6
Sony Pictures Classics,Spider ,7415.0,6.6,6
Capitol Films,Spider ,7415.0,6.6,6
Artist Independent Network,Spider ,7415.0,6.6,6
Grosvenor Park,Spider ,7415.0,6.6,6
Odeon Films,Spider ,7415.0,6.6,6
Catherine Bailey,Spider ,7415.0,6.6,6
Téléfilm Canada,Spider ,7415.0,6.6,6
CPTC,Spider ,7415.0,6.6,6
Metropolitan Films,Spider ,7415.0,6.6,6
Redbus Pictures,Spider ,7415.0,6.6,6
David Cronenberg,Spider ,7415.0,6.6,6
Touchstone Pictures,La última noche ,34986.0,7.5,6
40 Acres & A Mule Filmworks,La última noche ,34986.0,7.5,6
Medienfonds GFP,El enigma de Jerusalén (TV),1966.0,5.3,6
Rat Pack Filmproduktion,El enigma de Jerusalén (TV),1966.0,5.3,6
DNA Productions,Jimmy Neutron (Serie de TV),3302.0,4.6,6
O Entertainment,Jimmy Neutron (Serie de TV),3302.0,4.6,6
Nickelodeon Movies,Jimmy Neutron (Serie de TV),3302.0,4.6,6
Alcon Entertainment,Insomnio ,34226.0,6.5,6
Witt/Thomas Productions,Insomnio ,34226.0,6.5,6
Section Eight,Insomnio ,34226.0,6.5,6
Insomnia Productions,Insomnio ,34226.0,6.5,6
Summit Entertainment,Insomnio ,34226.0,6.5,6
Warner Bros.,Insomnio ,34226.0,6.5,6
20th Century Fox,Star Wars. Episodio II: El ataque de los clones ,107000.0,6.3,6
Lucasfilm,Star Wars. Episodio II: El ataque de los clones ,107000.0,6.3,6
Fox Searchlight,28 días después ,75352.0,6.7,6
DNA Films,28 días después ,75352.0,6.7,6
UK Film Council,28 días después ,75352.0,6.7,6
CJ Entertainment,Sang Woo y su abuela ,2516.0,7.4,6
Tube Entertainment,Sang Woo y su abuela ,2516.0,7.4,6
HBO,Las mujeres de verdad tienen curvas ,4063.0,6.7,6
Newmarket,Las mujeres de verdad tienen curvas ,4063.0,6.7,6
Dor Film Wien,La Secretaria de Hitler: El ángulo muerto ,256.0,6.6,6
Universal Pictures,El dragón rojo ,40471.0,6.5,6
Dino de Laurentiis,El dragón rojo ,40471.0,6.5,6
Metro-Goldwyn-Mayer (MGM),El dragón rojo ,40471.0,6.5,6
Telespan 2000,El otro lado de la cama ,49755.0,6.4,6
Pandora Cinema,Cypher ,9960.0,6.5,6
Notodofilmfest,Código 7 (C),1990.0,6.0,6
Warner Bros.,Harry Potter y la cámara secreta ,74447.0,6.5,6
Heyday Films,Harry Potter y la cámara secreta ,74447.0,6.5,6
1492 Pictures,Harry Potter y la cámara secreta ,74447.0,6.5,6
Typhon Film,El experimento ,27787.0,7.2,6
Fanes Film,El experimento ,27787.0,7.2,6
Metro-Goldwyn-Mayer (MGM),Hannibal ,76027.0,6.4,6
Universal Pictures,Hannibal ,76027.0,6.4,6
Dino de Laurentiis,Hannibal ,76027.0,6.4,6
Scott Free Productions,Hannibal ,76027.0,6.4,6
Warner Bros.,Harry Potter y la piedra filosofal ,84548.0,6.8,6
Heyday Films,Harry Potter y la piedra filosofal ,84548.0,6.8,6
1492 Pictures,Harry Potter y la piedra filosofal ,84548.0,6.8,6
Intermedia Films,K-Pax. Un universo aparte ,36172.0,6.9,6
Universal Pictures,K-Pax. Un universo aparte ,36172.0,6.9,6
Canal+ España,Juana la Loca ,15725.0,6.1,6
Enrique Cerezo P.C.,Juana la Loca ,15725.0,6.1,6
Pedro Costa Producciones Cinematográficas S.A,Juana la Loca ,15725.0,6.1,6
Production Group,Juana la Loca ,15725.0,6.1,6
Sogepaq,Juana la Loca ,15725.0,6.1,6
Take 2000,Juana la Loca ,15725.0,6.1,6
Touchstone Pictures,Pearl Harbor ,74480.0,6.1,6
Jerry Bruckheimer Films,Pearl Harbor ,74480.0,6.1,6
Repérage,Enemigo a las puertas ,82333.0,7.6,6
Paramount Pictures,Enemigo a las puertas ,82333.0,7.6,6
Mandalay Pictures,Enemigo a las puertas ,82333.0,7.6,6
Touchstone Pictures,El protegido ,58490.0,6.7,6
Blinding Edge Pictures,El protegido ,58490.0,6.7,6
Barry Mendel Productions,El protegido ,58490.0,6.7,6
Buena Vista Pictures,El protegido ,58490.0,6.7,6
Fat Free,Chocolat ,61880.0,6.7,6
David Brown Productions,Chocolat ,61880.0,6.7,6
Miramax,Chocolat ,61880.0,6.7,6
DreamWorks SKG,Lo que la verdad esconde ,33346.0,6.0,6
20th Century Fox,Lo que la verdad esconde ,33346.0,6.0,6
ImageMovers,Lo que la verdad esconde ,33346.0,6.0,6
Tapestry Films,Cadena de favores ,38493.0,6.7,6
Warner Bros.,Cadena de favores ,38493.0,6.7,6
Bel-Air Entertainment,Cadena de favores ,38493.0,6.7,6
Aardman,Chicken Run: Evasión en la granja ,33098.0,6.5,6
Pathé,Chicken Run: Evasión en la granja ,33098.0,6.5,6
DreamWorks SKG,Chicken Run: Evasión en la granja ,33098.0,6.5,6
,Los miserables (Miniserie de TV),3849.0,6.9,6
Jersey Films,Erin Brockovich ,70543.0,6.5,6
Universal Pictures,Erin Brockovich ,70543.0,6.5,6
Columbia Pictures,Erin Brockovich ,70543.0,6.5,6
Altavista Films,Amores perros ,76221.0,7.7,6
Zeta Film,Amores perros ,76221.0,7.7,6
CinéTé Filmproductie BV,Padre e hija (C),3715.0,7.0,6
Cloudrunner Ltd,Padre e hija (C),3715.0,7.0,6
Columbia Pictures,Inocencia interrumpida ,21127.0,6.6,6
Fox Searchlight,Boys Don't Cry ,14785.0,7.2,6
HBO,RKO 281. La batalla por Ciudadano Kane (TV),2698.0,6.2,6
WGBH Boston,RKO 281. La batalla por Ciudadano Kane (TV),2698.0,6.2,6
Scott Free Productions,RKO 281. La batalla por Ciudadano Kane (TV),2698.0,6.2,6
Labrador Films,RKO 281. La batalla por Ciudadano Kane (TV),2698.0,6.2,6
BBC Film,RKO 281. La batalla por Ciudadano Kane (TV),2698.0,6.2,6
View Askew Productions,Dogma ,26530.0,6.5,6
STK,Dogma ,26530.0,6.5,6
Fox 2000 Pictures,Ana y el rey ,12806.0,5.9,6
Lawrence Bender,Ana y el rey ,12806.0,5.9,6
American Zoetrope,Las vírgenes suicidas ,33288.0,6.7,6
Muse Productions,Las vírgenes suicidas ,33288.0,6.7,6
Eternity Pictures,Las vírgenes suicidas ,33288.0,6.7,6
Paramount Classics,Las vírgenes suicidas ,33288.0,6.7,6
TF1 Films Production,Astérix y Obélix contra César ,30873.0,5.1,6
Bavaria Film,Astérix y Obélix contra César ,30873.0,5.1,6
Bavaria Entertainment,Astérix y Obélix contra César ,30873.0,5.1,6
Melampo Cinematografica,Astérix y Obélix contra César ,30873.0,5.1,6
Renn Productions,Astérix y Obélix contra César ,30873.0,5.1,6
Nickel Odeon,El abuelo ,12555.0,6.9,6
Polygram Filmed Entertainment,El gran Lebowski ,119799.0,7.6,6
Working Title Films,El gran Lebowski ,119799.0,7.6,6
DreamWorks SKG,Antz (Hormigaz) ,97242.0,6.3,6
Pacific Data Images (PDI),Antz (Hormigaz) ,97242.0,6.3,6
DreamWorks Animation,Antz (Hormigaz) ,97242.0,6.3,6
Dimension Films,The Faculty ,46668.0,4.7,6
Miramax,The Faculty ,46668.0,4.7,6
X Filme Creative Pool,"Corre, Lola, corre ",33982.0,7.1,6
Westdeutscher Rundfunk (WDR),"Corre, Lola, corre ",33982.0,7.1,6
arte,"Corre, Lola, corre ",33982.0,7.1,6
Warner Bros.,Esfera ,46206.0,5.5,6
Baltimore Pictures,Esfera ,46206.0,5.5,6
Constant C Productions,Esfera ,46206.0,5.5,6
Punch Productions,Esfera ,46206.0,5.5,6
DreamWorks Animation,El príncipe de Egipto ,70501.0,6.4,6
DreamWorks SKG,El príncipe de Egipto ,70501.0,6.4,6
Miramax,Rounders ,20361.0,7.0,6
Universal Pictures,¿Conoces a Joe Black? ,46407.0,6.3,6
City Light Films,¿Conoces a Joe Black? ,46407.0,6.3,6
TF1,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
GMT Productions,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
DD Productions,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
Cité Films,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
Mediaset,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
Taurus Film,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
Programme MEDIA de la Communauté Européenne,El conde de Montecristo (Miniserie de TV),9966.0,6.9,6
Wildwood Enterprises,El hombre que susurraba a los caballos ,15197.0,5.8,6
Touchstone Pictures,El hombre que susurraba a los caballos ,15197.0,5.8,6
Sogetel,El milagro de P. Tinto ,36989.0,6.4,6
Películas Pendelton,El milagro de P. Tinto ,36989.0,6.4,6
El Deseo,Carne trémula ,15706.0,6.1,6
Ciby 2000,Carne trémula ,15706.0,6.1,6
France 3 Cinéma,Carne trémula ,15706.0,6.1,6
Gracie Films,Mejor... imposible ,133536.0,7.6,6
TriStar Pictures,Mejor... imposible ,133536.0,7.6,6
Pixar Animation Studios,El juego de Geri (C),13597.0,7.3,6
Sweetland Films,Desmontando a Harry ,35914.0,7.6,6
Universal Pictures,El mundo perdido: Jurassic Park ,50526.0,5.7,6
Amblin Entertainment,El mundo perdido: Jurassic Park ,50526.0,5.7,6
Steve Street,Doodlebug (C),4441.0,5.7,6
Emma Thomas,Doodlebug (C),4441.0,5.7,6
Film4 Productions,Full Monty ,47762.0,6.9,6
Redwave Films,Full Monty ,47762.0,6.9,6
20th Century Fox,Full Monty ,47762.0,6.9,6
A Band Apart,Jackie Brown ,56669.0,7.2,6
Miramax,Jackie Brown ,56669.0,7.2,6
Lawrence Bender Productions,Jackie Brown ,56669.0,7.2,6
Miramax,Jackie Brown ,56669.0,7.2,6
Bitter Films,Género (C),1222.0,6.6,6
Miramax,El paciente inglés ,69628.0,7.1,6
Saul Zaentz production,El paciente inglés ,69628.0,7.1,6
Walt Disney Pictures,El jorobado de Notre Dame ,32007.0,6.5,6
Portman Productions,Los cinco (Serie de TV),151.0,6.2,6
Zenith North Ltd,Los cinco (Serie de TV),151.0,6.2,6
Framestore,Los cinco (Serie de TV),151.0,6.2,6
Dimension Films,Scream. Vigila quién llama ,71091.0,5.8,6
Woods Entertainment,Scream. Vigila quién llama ,71091.0,5.8,6
Jim Henson Productions,Los teleñecos en la Isla del Tesoro ,2780.0,5.7,6
Jim Henson Company,Los teleñecos en la Isla del Tesoro ,2780.0,5.7,6
Walt Disney Pictures,Los teleñecos en la Isla del Tesoro ,2780.0,5.7,6
Walt Disney Pictures,De vuelta a casa 2: Perdidos en San Francisco ,509.0,4.4,6
Paramount Pictures,Las dos caras de la verdad ,32458.0,7.3,6
Rysher Entertainment,Las dos caras de la verdad ,32458.0,7.3,6
Bitter Films,"Ah, L'Amour (C)",1493.0,6.1,6
Warner Bros.,Heat ,51290.0,7.5,6
Regency Enterprises,Heat ,51290.0,7.5,6
Forward Pass,Heat ,51290.0,7.5,6
Art Linson Productions,Heat ,51290.0,7.5,6
Warner Bros.,Heat ,51290.0,7.5,6
Cosgrove Hall Films,Fantomcat (Serie de TV),,,6
TriStar Pictures,Jumanji ,64121.0,6.3,6
Interscope Communications,Jumanji ,64121.0,6.3,6
Teitler Film,Jumanji ,64121.0,6.3,6
Universal Pictures,El pueblo de los malditos ,26064.0,5.8,6
Warner Bros.,El pequeño panda ,878.0,5.0,6
20th Century Fox,Días extraños ,20574.0,6.7,6
James Cameron,Días extraños ,20574.0,6.7,6
Les Productions Lazennec,El odio ,32522.0,7.8,6
Studiocanal,El odio ,32522.0,7.8,6
La Sept Cinéma,El odio ,32522.0,7.8,6
Kasso inc. Productions,El odio ,32522.0,7.8,6
Universal Pictures,Una pandilla de pillos ,5203.0,5.4,6
King World Entertainment,Una pandilla de pillos ,5203.0,5.4,6
Amblin Entertainment,Una pandilla de pillos ,5203.0,5.4,6
Universal Pictures,La guerra ,3589.0,6.3,6
Island World,La guerra ,3589.0,6.3,6
Universal Pictures,La guerra ,3589.0,6.3,6
Walt Disney Pictures,Cheque en blanco ,3766.0,3.9,6
The Bedford Falls Company,Leyendas de pasión ,69675.0,6.8,6
Pangaea,Leyendas de pasión ,69675.0,6.8,6
TriStar Pictures,Leyendas de pasión ,69675.0,6.8,6
Mungo-Film,"Rex, un policía diferente (Serie de TV)",14190.0,4.2,6
Sat.1,"Rex, un policía diferente (Serie de TV)",14190.0,4.2,6
Taurus Film,"Rex, un policía diferente (Serie de TV)",14190.0,4.2,6
Österreichischer Rundfunk (ORF),"Rex, un policía diferente (Serie de TV)",14190.0,4.2,6
Touchstone Pictures,¡Viven! ,31469.0,6.8,6
Paramount Pictures,¡Viven! ,31469.0,6.8,6
The Kennedy/Marshall Company,¡Viven! ,31469.0,6.8,6
Warner Bros.,El fugitivo ,74855.0,7.0,6
Kopelson Entertainment,El fugitivo ,74855.0,7.0,6
Warner Bros.,Un mundo perfecto ,34162.0,7.4,6
Malpaso Productions,Un mundo perfecto ,34162.0,7.4,6
Warner Bros.,Amor a quemarropa ,35235.0,7.3,6
Warner Bros.,Vida de este chico ,7493.0,6.6,6
El Deseo,Acción mutante ,19020.0,5.9,6
Columbia Pictures,El río de la vida ,9039.0,6.6,6
,El vídeo de Benny ,5038.0,7.2,6
"""D'Ocon Films""",Delfy y sus amigos (Serie de TV),10745.0,4.5,6
Nickelodeon,"Rugrats, aventuras en pañales (Serie de TV)",26002.0,5.9,6
Klasky-Csupo,"Rugrats, aventuras en pañales (Serie de TV)",26002.0,5.9,6
Warner Bros.,"Robin Hood, príncipe de los ladrones ",70595.0,6.5,6
Universal Pictures,Tomates verdes fritos ,56096.0,7.4,6
Act III Productions,Tomates verdes fritos ,56096.0,7.4,6
Electric Shadow Productions,Tomates verdes fritos ,56096.0,7.4,6
Avnet/Kerner Productions,Tomates verdes fritos ,56096.0,7.4,6
El Deseo,Tacones lejanos ,15374.0,6.3,6
Ciby 2000,Tacones lejanos ,15374.0,6.3,6
Canal+,Tacones lejanos ,15374.0,6.3,6
TF1 Films Production,Tacones lejanos ,15374.0,6.3,6
Warner Bros.,Presunto inocente ,20331.0,6.7,6
Mirage Enterprises,Presunto inocente ,20331.0,6.7,6
Warner Bros.,Presunto inocente ,20331.0,6.7,6
Touchstone Pictures,Pretty Woman ,130028.0,6.3,6
Silver Screen Partners IV,Pretty Woman ,130028.0,6.3,6
Arnon Milchan Production,Pretty Woman ,130028.0,6.3,6
Castle Rock Entertainment,Misery ,40647.0,7.5,6
Nelson Entertainment,Misery ,40647.0,7.5,6
Paramount Pictures,Ghost. Más allá del amor ,112749.0,6.5,6
Disney Television Animation,Chip y Chop: Guardianes rescatadores (Serie de TV),13915.0,5.7,6
Universal Pictures,Regreso al futuro II ,65788.0,7.2,6
Amblin Entertainment,Regreso al futuro II ,65788.0,7.2,6
U-Drive Productions,Regreso al futuro II ,65788.0,7.2,6
Universal Pictures,Regreso al futuro II ,65788.0,7.2,6
Metro-Goldwyn-Mayer (MGM),Willow ,83047.0,6.8,6
Imagine Films Entertainment,Willow ,83047.0,6.8,6
Lucasfilm,Willow ,83047.0,6.8,6
United Artists,Rain Man ,88105.0,7.4,6
Guber-Peters Company,Rain Man ,88105.0,7.4,6
Mirage Entertainment,Rain Man ,88105.0,7.4,6
Star Partners,Rain Man ,88105.0,7.4,6
United Artists,Rain Man ,88105.0,7.4,6
Morgan Creek Productions,Inseparables ,11079.0,7.1,6
Téléfilm Canada,Inseparables ,11079.0,7.1,6
Mantle Clinic II,Inseparables ,11079.0,7.1,6
David Cronenberg,Inseparables ,11079.0,7.1,6
20th Century Fox,Inseparables ,11079.0,7.1,6
United Artists,Muñeco diabólico ,33018.0,5.4,6
Renaissance Pictures,Terroríficamente muertos ,15151.0,6.8,6
Warner Bros.,El imperio del sol ,28704.0,7.3,6
Columbia Pictures,El último emperador ,49932.0,7.2,6
Hemdale,El último emperador ,49932.0,7.2,6
TAO Film,El último emperador ,49932.0,7.2,6
Recorded Picture Company (RPC),El último emperador ,49932.0,7.2,6
Yanco Films Limited,El último emperador ,49932.0,7.2,6
Screenframe,El último emperador ,49932.0,7.2,6
AAA Soprofilms,El último emperador ,49932.0,7.2,6
China Film Group,El último emperador ,49932.0,7.2,6
Pixar Animation Studios,El sueño de Red (C),2757.0,5.6,6
Pixar Animation Studios,Luxo Jr. (C),5297.0,6.3,6
Brooksfilms,La mosca ,29759.0,7.0,6
SLM Production,La mosca ,29759.0,7.0,6
20th Century Fox,La mosca ,29759.0,7.0,6
20th Century Fox,Aliens: El regreso ,84459.0,7.4,6
Brandywine Productions,Aliens: El regreso ,84459.0,7.4,6
Jim Henson Company,Dentro del laberinto ,32360.0,7.2,6
Lucasfilm,Dentro del laberinto ,32360.0,7.2,6
TriStar Pictures,Dentro del laberinto ,32360.0,7.2,6
Henson Associates (HA),Dentro del laberinto ,32360.0,7.2,6
Delphi V Productions,Dentro del laberinto ,32360.0,7.2,6
Walt Disney Pictures,El vuelo del navegante ,4247.0,6.2,6
Procidis,Érase una vez... la vida (Serie de TV),40327.0,7.6,6
Paramount Pictures,Exploradores ,4927.0,5.9,6
Universal Pictures,Regreso al futuro ,142126.0,7.5,6
Amblin Entertainment,Regreso al futuro ,142126.0,7.5,6
Amblin Entertainment,El secreto de la pirámide ,14323.0,6.7,6
Paramount Pictures,Único testigo ,38668.0,6.9,6
Edward S. Feldman Production,Único testigo ,38668.0,6.9,6
Warner Bros.,Gremlins ,105489.0,6.6,6
Amblin Entertainment,Gremlins ,105489.0,6.6,6
Warner Bros.,Gremlins ,105489.0,6.6,6
Columbia Pictures,"Karate Kid, el momento de la verdad ",59957.0,6.1,6
Delphi Films,"Karate Kid, el momento de la verdad ",59957.0,6.1,6
Jerry Weintraub Productions,"Karate Kid, el momento de la verdad ",59957.0,6.1,6
Delphi II Productions,"Karate Kid, el momento de la verdad ",59957.0,6.1,6
Universal Pictures,Psicosis II: El regreso de Norman ,3061.0,5.3,6
Columbia Pictures,Christine ,16826.0,6.2,6
,Inspector Gadget (Serie de TV),34855.0,6.0,6
Columbia Pictures,Gandhi ,40030.0,7.4,6
Goldcrest Films,Gandhi ,40030.0,7.4,6
International Film Investors,Gandhi ,40030.0,7.4,6
National Film Development Corporation of India,Gandhi ,40030.0,7.4,6
ITC,La decisión de Sophie ,7405.0,7.2,6
Universal Pictures,La decisión de Sophie ,7405.0,7.2,6
Snowman Enterprises,The Snowman ,460.0,6.9,6
Channel 4,The Snowman ,460.0,6.9,6
TVC London,The Snowman ,460.0,6.9,6
Embassy Films,Aullidos ,4490.0,6.0,6
International Film Investors,Aullidos ,4490.0,6.0,6
Wescom Productions,Aullidos ,4490.0,6.0,6
Marvel Productions,Spider-man y sus increibles amigos (Serie de TV),1262.0,5.4,6
Mihahn,Spider-man y sus increibles amigos (Serie de TV),1262.0,5.4,6
DePatie-Freleng Enterprises,Spider-man y sus increibles amigos (Serie de TV),1262.0,5.4,6
BRB Internacional,D'Artacán y los tres mosqueperros (Serie de TV),31869.0,6.4,6
Nippon Animation,D'Artacán y los tres mosqueperros (Serie de TV),31869.0,6.4,6
CFDC,Scanners ,7696.0,6.3,6
Filmplan,Scanners ,7696.0,6.3,6
Montreal Trust Company of Canada,Scanners ,7696.0,6.3,6
Metro-Goldwyn-Mayer (MGM),Scanners ,7696.0,6.3,6
Metro-Goldwyn-Mayer (MGM),Fama ,19597.0,6.3,6
Filmways Pictures,Vestida para matar ,7916.0,6.7,6
Cinema 77 Films,Vestida para matar ,7916.0,6.7,6
Figaró Films,"Pepi, Luci, Bom y otras chicas del montón ",13611.0,5.4,6
Mosfilm,Stalker ,14419.0,7.9,6
Laurel Group,Zombi ,9013.0,6.8,6
Paramount Pictures,Grease ,100741.0,7.1,6
Robert Stigwood Organization,Grease ,100741.0,7.1,6
